Language,R,G,B,Hex
ZIL,219,116,229,#dc75e5
ZenScript,0,188,209,#00bcd1
Zephir,16,142,158,#118f9e
Zig,236,144,91,#ec915c
Zimpl,213,119,17,#d67711
Zmodel,255,112,0,#ff7100
crontab,233,215,172,#ead7ac
eC,145,56,96,#913960
fish,73,174,71,#4aae47
hoon,0,177,112,#00b171
iCalendar,236,86,76,#ec564c
jq,199,37,78,#c7254e
kvlang,29,166,224,#1da6e0
mIRC Script,61,86,195,#3d57c3
mcfunction,226,39,55,#e22837
mdsvex,95,158,160,#5f9ea0
mupad,36,73,99,#244963
nanorc,44,0,77,#2d004d
nesC,148,175,199,#94b0c7
ooc,176,183,126,#b0b77e
pkg-config,43,93,130,#2b5e82
q,0,63,205,#0040cd
reStructuredText,20,20,20,#141414
sed,100,185,112,#64b970
templ,102,207,220,#66d0dd
vCard,238,37,70,#ee2647
wisp,116,129,209,#7582d1
xBase,64,57,64,#403a40
